Source,Target,type,weight
0,1,directed,1
2,3,directed,1
2,4,directed,1
5,6,directed,1
5,7,directed,1
8,9,directed,1
8,1,directed,1
8,10,directed,1
8,11,directed,1
8,7,directed,1
8,0,directed,1
8,12,directed,1
13,14,directed,1
13,7,directed,1
15,16,directed,1
15,8,directed,1
15,17,directed,1
18,8,directed,1
18,10,directed,1
18,0,directed,1
18,1,directed,1
18,3,directed,1
18,19,directed,1
18,20,directed,1
18,21,directed,1
18,22,directed,1
18,23,directed,1
18,24,directed,1
18,25,directed,1
18,26,directed,1
18,27,directed,1
18,28,directed,1
18,29,directed,1
18,30,directed,1
18,31,directed,1
32,33,directed,1
32,19,directed,1
32,20,directed,1
34,35,directed,1
34,36,directed,1
37,38,directed,1
37,39,directed,1
37,35,directed,1
37,12,directed,1
37,36,directed,1
37,40,directed,1
37,34,directed,1
37,41,directed,1
37,42,directed,1
43,44,directed,1
43,33,directed,1
43,45,directed,1
43,46,directed,1
43,16,directed,1
43,47,directed,1
29,28,directed,1
29,48,directed,1
29,26,directed,1
29,6,directed,1
29,3,directed,1
29,13,directed,1
29,49,directed,1
29,27,directed,1
29,20,directed,1
29,50,directed,1
29,21,directed,1
51,26,directed,1
51,12,directed,1
52,53,directed,1
52,39,directed,1
52,26,directed,1
52,27,directed,1
52,6,directed,1
52,3,directed,1
52,37,directed,1
52,23,directed,1
39,12,directed,1
39,7,directed,1
39,42,directed,1
39,37,directed,1
12,42,directed,1
12,7,directed,1
12,17,directed,1
26,54,directed,1
26,28,directed,1
26,7,directed,1
26,27,directed,1
26,3,directed,1
26,6,directed,1
26,13,directed,1
26,24,directed,1
26,30,directed,1
26,10,directed,1
26,23,directed,1
26,5,directed,1
26,53,directed,1
55,35,directed,1
55,12,directed,1
55,41,directed,1
55,34,directed,1
28,19,directed,1
28,3,directed,1
28,26,directed,1
28,10,directed,1
28,23,directed,1
28,13,directed,1
28,7,directed,1
28,2,directed,1
28,4,directed,1
28,22,directed,1
3,7,directed,1
56,16,directed,1
56,36,directed,1
57,46,directed,1
57,16,directed,1
57,44,directed,1
57,58,directed,1
35,12,directed,1
35,36,directed,1
59,29,directed,1
38,39,directed,1
60,51,directed,1
60,7,directed,1
60,12,directed,1
60,26,directed,1
60,23,directed,1
60,14,directed,1
60,53,directed,1
60,27,directed,1
60,28,directed,1
60,6,directed,1
60,13,directed,1
60,3,directed,1
60,42,directed,1
61,38,directed,1
61,39,directed,1
61,16,directed,1
61,55,directed,1
61,34,directed,1
61,37,directed,1
61,40,directed,1
61,36,directed,1
61,1,directed,1
61,42,directed,1
27,2,directed,1
27,3,directed,1
27,62,directed,1
63,38,directed,1
63,37,directed,1
63,39,directed,1
63,42,directed,1
64,16,directed,1
64,0,directed,1
64,1,directed,1
64,12,directed,1
20,19,directed,1
20,65,directed,1
20,66,directed,1
20,21,directed,1
23,2,directed,1
23,3,directed,1
23,62,directed,1
23,27,directed,1
23,67,directed,1
23,30,directed,1
7,68,directed,1
7,69,directed,1
7,42,directed,1
7,48,directed,1
70,16,directed,1
70,3,directed,1
6,7,directed,1
6,66,directed,1
6,67,directed,1
6,5,directed,1
6,10,directed,1
6,48,directed,1
6,33,directed,1
6,37,directed,1
6,42,directed,1
6,52,directed,1
6,60,directed,1
19,28,directed,1
19,29,directed,1
