Source,Target,type,weight
0,1,directed,1
2,1,directed,1
2,3,directed,1
2,4,directed,1
2,5,directed,1
2,6,directed,1
1,7,directed,1
1,8,directed,1
1,5,directed,1
1,3,directed,1
1,4,directed,1
1,9,directed,1
1,10,directed,1
1,11,directed,1
1,12,directed,1
1,13,directed,1
1,14,directed,1
1,15,directed,1
1,16,directed,1
1,17,directed,1
1,2,directed,1
1,0,directed,1
18,19,directed,1
18,20,directed,1
18,21,directed,1
18,22,directed,1
17,1,directed,1
17,4,directed,1
17,3,directed,1
17,5,directed,1
17,6,directed,1
23,24,directed,1
23,25,directed,1
23,26,directed,1
