Source,Target,type,weight
0,1,directed,1
0,2,directed,1
0,3,directed,1
0,4,directed,1
0,5,directed,1
0,6,directed,1
0,7,directed,1
0,8,directed,1
9,10,directed,1
9,6,directed,1
9,11,directed,1
9,12,directed,1
9,2,directed,1
9,13,directed,1
9,14,directed,1
9,15,directed,1
9,16,directed,1
9,17,directed,1
9,18,directed,1
19,20,directed,1
19,21,directed,1
19,22,directed,1
19,23,directed,1
24,25,directed,1
24,26,directed,1
24,27,directed,1
24,28,directed,1
24,29,directed,1
24,30,directed,1
24,18,directed,1
24,31,directed,1
24,32,directed,1
33,34,directed,1
33,2,directed,1
33,35,directed,1
33,3,directed,1
33,4,directed,1
33,5,directed,1
33,6,directed,1
33,8,directed,1
2,36,directed,1
2,35,directed,1
2,37,directed,1
2,38,directed,1
2,17,directed,1
39,40,directed,1
39,27,directed,1
39,18,directed,1
39,41,directed,1
39,42,directed,1
39,43,directed,1
39,44,directed,1
39,6,directed,1
39,22,directed,1
21,45,directed,1
21,46,directed,1
21,47,directed,1
21,42,directed,1
21,20,directed,1
21,22,directed,1
21,48,directed,1
21,49,directed,1
21,23,directed,1
50,44,directed,1
50,6,directed,1
50,51,directed,1
50,17,directed,1
50,52,directed,1
50,53,directed,1
50,14,directed,1
50,2,directed,1
50,37,directed,1
50,54,directed,1
50,55,directed,1
50,56,directed,1
50,12,directed,1
50,15,directed,1
50,57,directed,1
50,58,directed,1
50,59,directed,1
50,3,directed,1
50,60,directed,1
50,61,directed,1
50,34,directed,1
50,62,directed,1
50,63,directed,1
52,37,directed,1
52,3,directed,1
52,64,directed,1
52,65,directed,1
52,36,directed,1
52,17,directed,1
52,35,directed,1
52,8,directed,1
52,66,directed,1
52,67,directed,1
68,69,directed,1
