Source,Target,type,weight
14,15,directed,1
14,16,directed,1
14,17,directed,1
14,18,directed,1
14,19,directed,1
14,20,directed,1
15,21,directed,1
15,22,directed,1
15,23,directed,1
24,25,directed,1
24,26,directed,1
24,27,directed,1
24,10,directed,1
24,28,directed,1
24,29,directed,1
24,30,directed,1
24,31,directed,1
24,32,directed,1
24,33,directed,1
34,35,directed,1
34,36,directed,1
34,37,directed,1
34,38,directed,1
34,10,directed,1
34,39,directed,1
34,40,directed,1
34,41,directed,1
34,42,directed,1
34,28,directed,1
34,29,directed,1
34,43,directed,1
34,26,directed,1
34,30,directed,1
44,45,directed,1
44,5,directed,1
44,46,directed,1
44,47,directed,1
44,28,directed,1
48,26,directed,1
48,28,directed,1
48,33,directed,1
48,31,directed,1
49,36,directed,1
49,26,directed,1
49,39,directed,1
49,42,directed,1
49,50,directed,1
49,28,directed,1
49,29,directed,1
49,51,directed,1
49,40,directed,1
49,37,directed,1
49,52,directed,1
49,30,directed,1
49,31,directed,1
53,54,directed,1
53,28,directed,1
53,29,directed,1
53,26,directed,1
53,30,directed,1
55,27,directed,1
55,13,directed,1
55,54,directed,1
55,56,directed,1
55,26,directed,1
55,29,directed,1
55,31,directed,1
55,28,directed,1
55,57,directed,1
55,33,directed,1
58,59,directed,1
58,60,directed,1
58,1,directed,1
58,18,directed,1
58,5,directed,1
58,20,directed,1
58,28,directed,1
61,62,directed,1
61,63,directed,1
61,64,directed,1
61,3,directed,1
61,65,directed,1
61,66,directed,1
61,67,directed,1
61,39,directed,1
61,28,directed,1
68,54,directed,1
68,26,directed,1
68,69,directed,1
68,31,directed,1
68,28,directed,1
68,29,directed,1
68,30,directed,1
70,37,directed,1
70,12,directed,1
70,3,directed,1
70,26,directed,1
70,69,directed,1
70,40,directed,1
70,28,directed,1
70,71,directed,1
70,29,directed,1
70,39,directed,1
70,30,directed,1
70,72,directed,1
70,10,directed,1
70,73,directed,1
70,74,directed,1
70,75,directed,1
76,54,directed,1
76,33,directed,1
76,26,directed,1
76,29,directed,1
76,30,directed,1
76,48,directed,1
76,28,directed,1
77,78,directed,1
77,59,directed,1
77,15,directed,1
77,79,directed,1
80,54,directed,1
80,26,directed,1
80,29,directed,1
80,30,directed,1
80,81,directed,1
80,28,directed,1
80,31,directed,1
82,59,directed,1
82,15,directed,1
82,17,directed,1
82,1,directed,1
82,18,directed,1
82,20,directed,1
82,28,directed,1
57,28,directed,1
57,29,directed,1
57,26,directed,1
57,83,directed,1
57,30,directed,1
84,12,directed,1
84,26,directed,1
84,37,directed,1
84,40,directed,1
84,39,directed,1
84,41,directed,1
84,31,directed,1
84,10,directed,1
84,28,directed,1
84,29,directed,1
16,85,directed,1
16,45,directed,1
16,18,directed,1
16,28,directed,1
16,1,directed,1
16,86,directed,1
59,79,directed,1
59,16,directed,1
59,1,directed,1
59,18,directed,1
59,20,directed,1
59,87,directed,1
59,88,directed,1
59,28,directed,1
89,12,directed,1
89,37,directed,1
89,90,directed,1
89,40,directed,1
89,10,directed,1
89,91,directed,1
89,28,directed,1
89,29,directed,1
89,39,directed,1
89,30,directed,1
28,92,directed,1
28,93,directed,1
28,94,directed,1
95,96,directed,1
95,28,directed,1
8,9,directed,1
8,10,directed,1
8,11,directed,1
8,12,directed,1
8,13,directed,1
97,26,directed,1
97,32,directed,1
97,98,directed,1
97,10,directed,1
97,99,directed,1
97,100,directed,1
97,101,directed,1
97,28,directed,1
97,30,directed,1
97,102,directed,1
97,3,directed,1
97,103,directed,1
97,86,directed,1
97,71,directed,1
97,27,directed,1
97,33,directed,1
97,31,directed,1
97,11,directed,1
104,12,directed,1
104,37,directed,1
104,3,directed,1
104,26,directed,1
104,27,directed,1
104,105,directed,1
104,39,directed,1
104,100,directed,1
104,99,directed,1
104,32,directed,1
104,41,directed,1
104,10,directed,1
104,97,directed,1
104,40,directed,1
104,101,directed,1
104,28,directed,1
104,71,directed,1
104,29,directed,1
104,31,directed,1
106,54,directed,1
106,28,directed,1
106,29,directed,1
106,33,directed,1
106,26,directed,1
106,31,directed,1
106,30,directed,1
107,108,directed,1
107,58,directed,1
107,82,directed,1
107,109,directed,1
107,110,directed,1
107,59,directed,1
107,15,directed,1
107,79,directed,1
107,60,directed,1
81,33,directed,1
81,28,directed,1
81,31,directed,1
78,59,directed,1
78,15,directed,1
78,79,directed,1
78,108,directed,1
78,109,directed,1
78,110,directed,1
78,111,directed,1
78,112,directed,1
78,113,directed,1
78,58,directed,1
78,82,directed,1
78,114,directed,1
78,115,directed,1
78,116,directed,1
78,117,directed,1
78,118,directed,1
78,20,directed,1
78,119,directed,1
78,60,directed,1
