Source,Target,type,weight
0,1,directed,1
0,2,directed,1
0,3,directed,1
0,4,directed,1
0,5,directed,1
0,6,directed,1
0,7,directed,1
0,8,directed,1
0,9,directed,1
0,10,directed,1
0,11,directed,1
0,12,directed,1
0,13,directed,1
0,14,directed,1
15,1,directed,1
15,3,directed,1
15,16,directed,1
15,17,directed,1
15,18,directed,1
15,14,directed,1
15,19,directed,1
20,21,directed,1
22,23,directed,1
22,3,directed,1
22,24,directed,1
22,14,directed,1
25,26,directed,1
25,27,directed,1
25,28,directed,1
25,29,directed,1
25,30,directed,1
25,31,directed,1
25,20,directed,1
25,32,directed,1
25,14,directed,1
33,34,directed,1
33,35,directed,1
33,3,directed,1
33,36,directed,1
33,37,directed,1
33,38,directed,1
33,39,directed,1
33,40,directed,1
33,41,directed,1
33,42,directed,1
33,43,directed,1
33,5,directed,1
33,24,directed,1
33,44,directed,1
33,14,directed,1
33,45,directed,1
46,1,directed,1
46,3,directed,1
46,47,directed,1
46,14,directed,1
46,48,directed,1
46,49,directed,1
50,29,directed,1
50,28,directed,1
50,51,directed,1
50,30,directed,1
50,52,directed,1
50,32,directed,1
50,14,directed,1
53,52,directed,1
53,54,directed,1
53,29,directed,1
53,55,directed,1
53,56,directed,1
53,57,directed,1
53,21,directed,1
53,5,directed,1
53,31,directed,1
53,58,directed,1
53,59,directed,1
53,60,directed,1
23,61,directed,1
23,62,directed,1
23,3,directed,1
23,17,directed,1
23,24,directed,1
23,14,directed,1
23,63,directed,1
23,64,directed,1
23,19,directed,1
23,65,directed,1
66,36,directed,1
66,59,directed,1
66,40,directed,1
66,5,directed,1
66,43,directed,1
67,60,directed,1
67,68,directed,1
67,69,directed,1
67,70,directed,1
67,35,directed,1
67,71,directed,1
67,72,directed,1
67,32,directed,1
67,73,directed,1
74,1,directed,1
74,3,directed,1
74,47,directed,1
74,14,directed,1
74,48,directed,1
74,49,directed,1
75,76,directed,1
75,77,directed,1
75,78,directed,1
75,73,directed,1
75,5,directed,1
75,79,directed,1
75,80,directed,1
75,81,directed,1
75,82,directed,1
75,83,directed,1
75,6,directed,1
84,29,directed,1
84,28,directed,1
84,52,directed,1
84,85,directed,1
84,51,directed,1
84,30,directed,1
84,82,directed,1
84,56,directed,1
84,32,directed,1
84,14,directed,1
86,36,directed,1
86,66,directed,1
86,87,directed,1
86,5,directed,1
88,30,directed,1
88,51,directed,1
88,59,directed,1
88,89,directed,1
88,90,directed,1
88,91,directed,1
88,26,directed,1
92,51,directed,1
92,54,directed,1
92,93,directed,1
92,20,directed,1
92,31,directed,1
92,94,directed,1
92,53,directed,1
92,95,directed,1
92,96,directed,1
92,97,directed,1
92,52,directed,1
92,36,directed,1
92,98,directed,1
92,40,directed,1
92,99,directed,1
92,5,directed,1
92,100,directed,1
92,39,directed,1
92,101,directed,1
92,102,directed,1
103,20,directed,1
103,32,directed,1
103,100,directed,1
103,5,directed,1
103,104,directed,1
103,105,directed,1
103,106,directed,1
103,107,directed,1
103,70,directed,1
103,108,directed,1
103,109,directed,1
103,110,directed,1
103,36,directed,1
103,94,directed,1
103,93,directed,1
103,60,directed,1
103,55,directed,1
103,35,directed,1
103,111,directed,1
103,112,directed,1
103,58,directed,1
103,96,directed,1
103,99,directed,1
113,3,directed,1
113,51,directed,1
113,114,directed,1
113,30,directed,1
113,115,directed,1
113,14,directed,1
113,47,directed,1
113,116,directed,1
113,49,directed,1
117,115,directed,1
117,113,directed,1
117,14,directed,1
117,49,directed,1
118,51,directed,1
118,54,directed,1
118,119,directed,1
118,120,directed,1
118,121,directed,1
118,31,directed,1
118,94,directed,1
118,53,directed,1
118,95,directed,1
118,97,directed,1
118,52,directed,1
118,36,directed,1
118,98,directed,1
118,39,directed,1
118,40,directed,1
118,101,directed,1
122,34,directed,1
122,36,directed,1
122,123,directed,1
122,124,directed,1
122,125,directed,1
122,126,directed,1
122,127,directed,1
122,128,directed,1
129,70,directed,1
129,130,directed,1
129,131,directed,1
132,121,directed,1
132,32,directed,1
132,119,directed,1
132,36,directed,1
132,107,directed,1
132,133,directed,1
132,106,directed,1
132,94,directed,1
132,134,directed,1
132,5,directed,1
132,28,directed,1
89,51,directed,1
89,135,directed,1
89,90,directed,1
89,52,directed,1
89,97,directed,1
89,98,directed,1
89,54,directed,1
89,39,directed,1
89,40,directed,1
89,101,directed,1
89,36,directed,1
89,43,directed,1
51,54,directed,1
69,54,directed,1
69,52,directed,1
69,29,directed,1
69,82,directed,1
69,56,directed,1
69,31,directed,1
69,130,directed,1
136,115,directed,1
136,137,directed,1
136,31,directed,1
136,84,directed,1
136,138,directed,1
136,34,directed,1
136,74,directed,1
80,77,directed,1
80,75,directed,1
80,76,directed,1
80,139,directed,1
80,59,directed,1
80,73,directed,1
80,140,directed,1
141,51,directed,1
141,30,directed,1
141,29,directed,1
141,69,directed,1
141,31,directed,1
141,32,directed,1
141,14,directed,1
141,28,directed,1
142,30,directed,1
142,143,directed,1
142,26,directed,1
142,43,directed,1
142,35,directed,1
142,91,directed,1
144,61,directed,1
144,2,directed,1
144,62,directed,1
144,3,directed,1
144,13,directed,1
144,14,directed,1
144,63,directed,1
144,64,directed,1
144,65,directed,1
61,1,directed,1
61,3,directed,1
61,62,directed,1
61,63,directed,1
61,145,directed,1
61,146,directed,1
61,64,directed,1
61,65,directed,1
147,148,directed,1
1,149,directed,1
1,37,directed,1
1,3,directed,1
1,59,directed,1
1,52,directed,1
1,10,directed,1
150,30,directed,1
150,29,directed,1
150,31,directed,1
150,121,directed,1
150,32,directed,1
150,14,directed,1
150,28,directed,1
