id,label,dev
0,RawResourceDataSource,0
1,DataSource,1
2,AssetFileDescriptor,0
3,Context,0
4,Resources,0
5,Uri,0
6,AssetDataSource,0
7,AssetManager,0
8,DefaultDataSource,0
9,CacheDataSink,0
10,DataSink,1
11,Assertions,0
12,Cache,0
13,DataSpec,0
14,[B,0
15,Util,0
16,DataChunk,0
17,Chunk,0
18,CacheDataSourceFactory,1
19,FileDataSourceFactory,1
20,CacheDataSinkFactory,1
21,CacheDataSource,1
22,PriorityDataSource,0
23,PriorityTaskManager,0
24,FileDataSource,0
25,DefaultDataSourceFactory,1
26,HlsMediaPeriod,0
27,MediaPeriod,0
28,Loader,0
29,HlsSampleStreamWrapper,0
30,AdaptiveMediaSourceEventListener,0
31,MediaSource,0
32,HlsMasterPlaylist,0
33,Handler,0
34,CacheSpan,1
35,HttpDataSource,0
36,Predicate,0
37,ExtractorMediaSource,0
38,ParserException,0
39,Timeline,0
40,UdpDataSource,0
41,HlsMediaSource,0
42,ContainerMediaChunk,0
43,BaseMediaChunk,0
44,ChunkExtractorWrapper,0
45,DefaultExtractorInput,0
46,DefaultTrackOutput,0
47,ExtractorInput,0
48,PlayerActivity,1
49,ExoPlayer,0
50,TrackSelector,0
51,PlaybackControlView,0
52,UnsupportedDrmException,0
53,MappingTrackSelector,0
54,Activity,0
55,Bundle,0
56,Button,0
57,Intent,0
58,LinearLayout,0
59,OnClickListener,0
60,TextView,0
61,View,0
62,Aes128DataSource,0
63,Cipher,0
64,SecretKeySpec,0
65,IvParameterSpec,0
66,CipherInputStream,0
67,DataSourceInputStream,0
68,NoSuchPaddingException,0
69,DashMediaSource,0
70,ParsingLoadable,0
71,DashChunkSource,0
72,SparseArray,0
73,CacheSpanTest,1
74,TestCase,0
75,LeastRecentlyUsedCacheEvictor,0
76,CacheEvictor,0
77,OkHttpDataSourceFactory,1
78,CacheControl,0
79,OkHttpClient,0
80,DashTest,1
81,ExoHostedTest,0
82,ExoPlaybackException,0
83,MediaCodecUtil,0
84,ActivityInstrumentationTestCase2,0
85,DemoApplication,1
86,Application,0
87,ByteArrayDataSource,0
88,DefaultSsChunkSource,0
89,SsChunkSource,0
90,SsManifest,0
91,TrackSelection,0
92,Track,0
93,FragmentedMp4Extractor,0
94,LoaderErrorThrower,0
95,TrackEncryptionBox;,0
96,Format,0
97,ChunkedTrackBlacklistUtil,0
98,DefaultDashChunkSource,0
99,Representation,0
100,RawCcExtractor,0
101,MatroskaExtractor,0
102,Extractor,0
103,BehindLiveWindowException,0
104,DashSegmentIndex,0
105,MimeTypes,0
106,DashManifest,0
107,MediaChunk,0
108,ChunkHolder,0
109,Period,0
110,RangedUri,0
111,AdaptationSet,0
112,SingleSampleMediaChunk,0
113,C,0
114,CacheDataSourceTest,1
115,InstrumentationTestCase,0
116,SingleSampleMediaPeriod,0
117,SampleStream,0
118,SingleSampleMediaSource,0
119,SimpleCache,1
120,Pair,0
121,DefaultExtractorInputTest,0
122,FakeDataSource,1
123,DefaultHttpDataSource,1
124,TransferListener,0
125,SsMediaSource,0
126,InitializationChunk,0
127,TrackOutput,0
128,ContentDataSource,0
129,ContentResolver,0
130,OkHttpDataSource,1
131,Request,0
132,Response,0
133,TeeDataSource,0
134,ByteArrayDataSink,0
135,HlsMediaChunk,0
136,TimestampAdjuster,0
137,DefaultHttpDataSourceFactory,1
