Source,Target,type,weight
0,1,directed,1
0,2,directed,1
0,3,directed,1
0,4,directed,1
0,5,directed,1
0,6,directed,1
0,7,directed,1
0,8,directed,1
0,9,directed,1
0,10,directed,1
11,12,directed,1
11,13,directed,1
11,14,directed,1
12,13,directed,1
13,15,directed,1
13,16,directed,1
13,17,directed,1
13,18,directed,1
6,13,directed,1
6,19,directed,1
6,20,directed,1
6,21,directed,1
6,22,directed,1
6,23,directed,1
6,24,directed,1
6,25,directed,1
6,26,directed,1
27,13,directed,1
27,24,directed,1
27,28,directed,1
27,15,directed,1
27,16,directed,1
27,17,directed,1
27,18,directed,1
27,29,directed,1
