id;label;dev
42;CodecSpecificDataUtil;1
41;[B;1
272;[[B;1
43;Pair;1
8;MediaCodecVideoTrackRenderer;1
9;MediaCodecTrackRenderer;2
1;Surface;1
10;MediaCodecUtil;2
3;ExoPlaybackException;2
11;Context;1
7;Handler;1
15;MediaFormat;2
16;ExtractorSampleSource;1
17;Loader;2
18;Uri;1
19;DefaultTrackOutput;2
20;ParserException;1
21;SampleSource;2
22;ExtractorOutput;2
23;SparseArray;1
29;AtomParsers;1
28;ParsableByteArray;2
33;Assertions;1
30;TrackEncryptionBox;1
31;Atom;2
32;TrackSampleTable;1
35;Track;2
34;C;2
310;FixedSampleSizeRechunker;2
36;Util;2
37;[J;1
38;[I;1
298;GaplessInfo;2
39;NalUnitUtil;2
40;ParsableBitArray;1
104;AudioTagPayloadReader;1
93;TagPayloadReader;2
332;OggUtilTest;2
307;OggUtil;2
45;TestCase;0
275;DefaultEbmlReaderTest;1
276;EbmlReaderOutput;2
283;OutputBuffer;1
284;Buffer;2
333;PlayableSubtitle;0
211;Subtitle;2
63;CryptoException;1
2;SampleSourceTrackRenderer;2
13;BufferInfo;1
64;CryptoInfo;1
317;StreamReader;1
318;OggParser;2
65;DefaultSmoothStreamingTrackSelector;1
66;SmoothStreamingTrackSelector;2
67;CodecCapabilities;1
68;MediaCodecInfo;1
69;VideoCapabilities;1
334;ByteArrayDataSource;2
116;DataSource;2
115;DataSpec;0
179;Mp4WebvttSubtitle;1
226;RollingSampleBuffer;1
71;SampleHolder;1
207;Allocator;2
208;Allocation;1
51;ExtractorInput;2
76;UriLoadable;1
335;DataSourceInputStream;2
312;UriDataSource;2
336;TtmlStyleTest;2
106;InstrumentationTestCase;0
337;ActionSchedule;2
241;Action;2
85;Id3Parser;1
86;MetadataParser;2
270;Id3Frame;2
278;TxxxFrame;2
279;PrivFrame;2
269;GeobFrame;2
314;ApicFrame;2
315;TextInformationFrame;2
280;BinaryFrame;2
90;DummyTrackRenderer;1
91;TrackRenderer;2
267;WebvttSubtitle;1
178;WebvttCue;1
121;ClosedCaptionCtrl;1
118;ClosedCaption;1
92;VideoTagPayloadReader;1
50;TrackOutput;2
306;OggSeeker;1
166;MediaChunk;1
112;Chunk;2
105;DashChunkSourceTest;1
107;EventLogger;1
62;DemoPlayer;2
108;AudioTrack;2
240;TextTrackRenderer;1
57;Callback;1
151;HandlerThread;1
58;Looper;1
59;Message;1
338;SubripParser;2
177;SubtitleParser;2
117;Eia608Parser;1
119;ClosedCaptionList;1
120;ClosedCaptionText;1
339;TtmlRenderUtil;2
340;TtmlStyle;2
341;SpannableStringBuilder;0
236;DefaultHttpDataSource;1
197;HttpDataSource;2
237;TransferListener;1
299;SimpleDecoder;1
291;Decoder;2
292;InputBuffer;2
73;OpusDecoder;1
72;OpusDecoderException;2
289;OpusOutputBuffer;1
153;VorbisUtil;1
171;VorbisBitArray;2
342;WidevineTestMediaDrmCallback;2
343;MediaDrmCallback;2
344;KeyRequest;0
345;ProvisionRequest;0
165;TsChunk;1
167;Aes128DataSource;2
114;DefaultExtractorInput;2
168;HlsExtractorWrapper;2
169;H262Reader;1
170;ElementaryStreamReader;2
346;Tx3gSubtitle;2
285;VarintReaderTest;1
347;CodecCountersUtil;2
348;CodecCounters;2
349;HlsMasterPlaylistParserTest;2
26;ExoPlayer;2
300;WavExtractor;1
48;Extractor;2
47;SeekMap;2
301;WavHeaderReader;2
302;WavHeader;2
173;BaseMediaChunk;1
287;DebugMediaCodecVideoTrackRenderer;1
350;CTest;2
187;WebvttExtractor;1
110;PositionHolder;1
189;LibopusAudioTrackRenderer;1
190;MediaClock;1
195;XingSeekerTest;1
303;HlsMediaPlaylistParserTest;1
161;StreamingDrmSessionManager;1
351;OnEventListener;1
352;DrmSessionManager;2
353;UnsupportedDrmException;1
79;DrmInitData;2
14;MediaCrypto;1
354;OggExtractorTest;2
355;PlayerControl;2
138;MediaPlayerControl;0
210;SubripSubtitle;1
356;DecoderInfo;2
357;AudioCapabilities;2
141;Intent;0
212;Ac3Reader;1
213;Ac3Util;2
78;SegmentBase;1
214;RangedUri;1
215;Representation;2
96;Format;2
216;UrlTemplate;2
304;DashTest;1
233;DashTrackSelector;2
24;ExoHostedTest;2
305;ActivityInstrumentationTestCase2;1
358;OggParserTest;2
359;DefaultLoadControl;2
360;LoadControl;2
102;MediaPresentationDescription;1
101;ManifestFetcher;2
186;UtcTimingElement;1
361;Period;1
288;FakeDataSource;1
362;MediaPresentationDescriptionParserTest;2
158;HlsSampleSource;1
149;BaseChunkSampleSourceEventListener;2
326;FlacUtil;1
325;FlacStreamInfo;2
162;DashChunkSource;1
231;BehindLiveWindowException;2
232;ChunkSource;2
234;FormatEvaluator;2
363;DefaultUriDataSource;0
159;BandwidthMeter;1
364;WebvttSubtitleTest;2
260;DataChunk;1
365;TtmlParserTest;2
366;Alignment;0
367;Spannable;0
271;FakeExtractorInput;1
262;SparseBooleanArray;1
316;VorbisReader;1
368;DefaultExtractorInputTest;2
242;SingleSampleSource;1
244;ExoPlayerImpl;1
369;ByteArrayDataSink;0
204;DataSink;2
370;UriUtil;2
371;VpxRenderer;2
372;EGLConfig;0
373;GL10;0
374;Renderer;0
206;DefaultAllocator;1
375;TtmlRenderUtilTest;2
53;XingSeeker;1
46;Mp3Extractor;2
49;MpegAudioHeader;1
376;FakeClock;2
377;Clock;2
164;DebugTextViewHelper;1
136;TextView;1
220;TtmlNode;1
252;DummyTrackOutput;1
294;EbmlReader;1
55;ConstantBitrateSeeker;1
253;WebvttParser;1
180;WebvttCueParser;2
172;SingleSampleMediaChunk;1
378;DashWrappingSegmentIndex;0
379;DashSegmentIndex;2
122;ChunkIndex;2
380;Mp4ExtractorTest;2
381;PriorityDataSource;2
382;NetworkLock;0
383;UtilTest;2
175;VpxDecoder;1
4;VpxDecoderException;2
297;VpxInputBuffer;2
174;VpxOutputBuffer;2
156;FormatWrapper;2
384;OggSeekerTest;2
261;TsExtractor;1
191;SmoothStreamingRendererBuilder;1
296;StreamBuilder;1
258;TestUtil;2
385;AssetDataSource;2
386;AssetManager;0
387;TtmlParser;2
77;XmlPullParserException;0
80;XmlPullParser;0
81;XmlPullParserFactory;0
268;H265Reader;1
255;NalUnitTargetBuffer;1
250;SeiReader;2
0;LibvpxVideoTrackRenderer;1
6;Bitmap;1
52;Id3Util;2
54;VbriSeeker;2
388;ParserUtil;2
25;HostActivity;2
273;Instrumentation;1
194;ConditionVariable;1
181;Eia608TrackRenderer;1
274;FakeExtractorOutput;1
389;FileDataSource;2
56;MetadataTrackRenderer;1
390;AdaptationSet;2
319;MetricsLogger;1
391;SubtitleParserHelper;2
95;HlsParserUtil;1
277;PsExtractor;1
281;Id3ParserTest;1
392;CuePainter;2
393;Canvas;0
394;Paint;0
395;RectF;0
396;StaticLayout;0
397;TextPaint;0
83;AdtsExtractor;1
84;AdtsReader;2
308;WebmExtractor;1
219;TtmlSubtitle;1
94;HlsPlaylistParser;1
97;Variant;2
98;HlsMasterPlaylist;2
99;HlsMediaPlaylist;2
100;DashRendererBuilder;1
103;UtcTimingElementResolver;2
243;MpegAudioReader;1
235;SubripParserTest;1
398;DashSingleSegmentIndex;0
109;Mp4Extractor;1
82;Sniffer;1
27;WebvttParserUtil;1
399;OggExtractor;2
324;FlacReader;2
320;FlacSeekTable;1
123;SampleChooserActivity;1
129;Samples;2
130;BaseExpandableListAdapter;1
125;View;1
126;ViewGroup;1
127;Activity;1
128;Bundle;1
321;Creator;1
322;Parcel;1
323;Parcelable;1
133;PlayerActivity;1
137;KeyEvent;1
134;MediaController;1
139;AudioCapabilitiesReceiver;1
140;Button;1
142;MenuItem;1
143;OnClickListener;1
144;OnMenuItemClickListener;1
145;PopupMenu;1
146;SurfaceHolder;1
135;SurfaceView;1
147;TtmlColorParserTest;1
150;ExoPlayerImplInternal;1
400;VorbisReaderTest;2
309;HlsPlaylist;2
155;SmoothStreamingManifest;1
148;ChunkSampleSource;2
160;MediaCodecAudioTrackRenderer;2
163;TextRenderer;1
401;TeeDataSource;2
402;SmoothStreamingChunkSource;2
286;TestData;1
403;NalUnitUtilTest;2
176;Mp4WebvttParser;1
404;TimeRange;2
182;DefaultHlsTrackSelector;1
183;HlsTrackSelector;2
188;ContentProtection;1
192;PlaybackParams;1
193;AudioTimestamp;1
196;OkHttpDataSource;1
198;CacheControl;1
199;OkHttpClient;1
200;Request;1
201;Response;1
405;WebvttParserTest;2
202;PsshAtomUtil;1
203;CacheDataSink;1
205;Cache;2
406;RepresentationTest;2
407;DefaultBandwidthMeter;2
251;VpxPlaybackTest;1
408;ExtractorTest;2
230;[Z;1
60;VorbisUtilTest;1
111;InitializationChunk;1
113;ChunkExtractorWrapper;2
409;CacheEvictor;0
217;HlsRendererBuilder;1
222;Id3Reader;1
223;FrameworkSampleSource;1
224;MediaExtractor;1
225;DtsUtil;1
209;MediaCodecSelector;1
327;CacheSpan;1
410;TimeRangeTest;2
411;ContentDataSource;2
412;ContentResolver;0
282;WebmExtractorTest;1
413;DefaultDashTrackSelector;2
414;Tx3gParser;2
221;Cue;0
415;SystemClock;2
239;DtsReader;1
328;LogcatMetricsLogger;1
311;UdpDataSource;1
131;FlvExtractor;1
132;ScriptTagPayloadReader;2
416;Cipher;1
417;SecretKeySpec;1
418;IvParameterSpec;1
419;CipherInputStream;1
420;NoSuchPaddingException;1
313;Mp4WebvttParserTest;1
329;Predicate;1
245;LogcatLogger;1
421;LeastRecentlyUsedCacheEvictor;0
227;FragmentedMp4Extractor;1
293;DefaultEbmlReader;1
295;VarintReader;2
422;VpxVideoSurfaceView;2
423;VpxOutputBufferRenderer;2
424;AttributeSet;0
425;GLSurfaceView;0
426;SmoothStreamingManifestParserTest;2
249;TraceUtil;1
61;ExtractorRendererBuilder;1
228;TrackFragment;1
427;SmoothStreamingManifestParser;2
254;H264Reader;1
256;AdtsReaderTest;1
257;FakeTrackOutput;1
428;SmoothStreamingTestMediaDrmCallback;2
259;HlsChunkSource;1
429;SimpleCache;2
430;CacheDataSource;2
238;MediaFormatTest;1
263;VideoFormatSelectorUtil;1
264;MimeTypes;2
265;Display;1
266;Point;1
330;WakeLock;1
331;WifiLock;1
218;ContainerMediaChunk;1
74;MediaPresentationDescriptionParser;1
75;DefaultHandler;1
