Source,Target,type,weight
611,612,directed,1
210,211,directed,1
210,36,directed,1
210,33,directed,1
431,432,directed,1
431,435,directed,1
431,433,directed,1
431,434,directed,1
29,28,directed,1
29,33,directed,1
29,30,directed,1
29,31,directed,1
29,36,directed,1
29,20,directed,1
29,436,directed,1
29,96,directed,1
29,43,directed,1
236,197,directed,1
236,33,directed,1
236,237,directed,1
236,41,directed,1
236,36,directed,1
236,18,directed,1
612,33,directed,1
437,343,directed,1
437,592,directed,1
437,197,directed,1
441,433,directed,1
441,442,directed,1
441,447,directed,1
441,443,directed,1
441,446,directed,1
441,162,directed,1
441,445,directed,1
441,361,directed,1
441,450,directed,1
441,390,directed,1
441,96,directed,1
441,215,directed,1
441,451,directed,1
441,449,directed,1
441,444,directed,1
452,359,directed,1
452,244,directed,1
452,11,directed,1
457,458,directed,1
457,3,directed,1
457,4,directed,1
457,459,directed,1
457,6,directed,1
457,7,directed,1
457,1,directed,1
267,211,directed,1
267,178,directed,1
267,36,directed,1
267,33,directed,1
107,26,directed,1
107,482,directed,1
107,459,directed,1
107,444,directed,1
107,473,directed,1
107,161,directed,1
107,544,directed,1
107,475,directed,1
107,435,directed,1
107,474,directed,1
107,1,directed,1
476,36,directed,1
476,28,directed,1
476,51,directed,1
476,20,directed,1
478,166,directed,1
478,167,directed,1
478,479,directed,1
478,48,directed,1
478,36,directed,1
478,114,directed,1
478,115,directed,1
478,116,directed,1
478,51,directed,1
478,613,directed,1
73,299,directed,1
73,72,directed,1
73,480,directed,1
73,481,directed,1
73,614,directed,1
73,41,directed,1
434,433,directed,1
434,449,directed,1
434,451,directed,1
434,448,directed,1
434,447,directed,1
434,38,directed,1
434,230,directed,1
434,450,directed,1
434,442,directed,1
472,459,directed,1
472,482,directed,1
472,163,directed,1
472,475,directed,1
472,544,directed,1
472,1,directed,1
472,146,directed,1
472,57,directed,1
472,615,directed,1
472,616,directed,1
472,192,directed,1
472,26,directed,1
472,11,directed,1
472,7,directed,1
472,135,directed,1
472,617,directed,1
618,432,directed,1
618,435,directed,1
618,33,directed,1
161,592,directed,1
161,7,directed,1
161,58,directed,1
161,59,directed,1
161,352,directed,1
161,486,directed,1
161,353,directed,1
161,79,directed,1
161,151,directed,1
175,299,directed,1
175,4,directed,1
175,480,directed,1
175,174,directed,1
175,611,directed,1
494,317,directed,1
494,36,directed,1
494,28,directed,1
494,96,directed,1
78,36,directed,1
78,214,directed,1
78,215,directed,1
78,96,directed,1
78,216,directed,1
304,24,directed,1
304,474,directed,1
304,3,directed,1
304,10,directed,1
304,305,directed,1
17,7,directed,1
17,58,directed,1
17,59,directed,1
17,445,directed,1
17,36,directed,1
575,432,directed,1
575,435,directed,1
575,38,directed,1
575,36,directed,1
575,230,directed,1
619,620,directed,1
619,28,directed,1
619,621,directed,1
619,221,directed,1
619,467,directed,1
619,470,directed,1
310,36,directed,1
310,34,directed,1
310,37,directed,1
310,38,directed,1
244,26,directed,1
244,150,directed,1
244,435,directed,1
244,7,directed,1
244,59,directed,1
462,36,directed,1
462,18,directed,1
82,28,directed,1
82,51,directed,1
82,36,directed,1
82,31,directed,1
82,38,directed,1
622,116,directed,1
622,599,directed,1
622,11,directed,1
622,623,directed,1
622,18,directed,1
164,26,directed,1
164,136,directed,1
624,197,directed,1
624,236,directed,1
596,433,directed,1
596,17,directed,1
596,479,directed,1
596,444,directed,1
596,432,directed,1
596,98,directed,1
596,116,directed,1
596,7,directed,1
596,18,directed,1
597,483,directed,1
597,48,directed,1
597,36,directed,1
597,28,directed,1
597,51,directed,1
597,213,directed,1
597,212,directed,1
597,22,directed,1
597,47,directed,1
435,34,directed,1
218,173,directed,1
218,113,directed,1
218,36,directed,1
218,114,directed,1
218,115,directed,1
218,116,directed,1
218,19,directed,1
218,51,directed,1
46,483,directed,1
46,48,directed,1
46,47,directed,1
46,36,directed,1
46,28,directed,1
46,49,directed,1
46,436,directed,1
46,22,directed,1
46,96,directed,1
46,50,directed,1
46,51,directed,1
46,34,directed,1
46,52,directed,1
46,20,directed,1
46,41,directed,1
46,53,directed,1
46,54,directed,1
46,55,directed,1
24,25,directed,1
24,26,directed,1
24,482,directed,1
24,459,directed,1
24,7,directed,1
24,1,directed,1
517,449,directed,1
517,33,directed,1
517,518,directed,1
55,46,directed,1
359,360,directed,1
359,206,directed,1
359,625,directed,1
359,374,directed,1
359,36,directed,1
626,26,directed,1
626,143,directed,1
626,627,directed,1
626,628,directed,1
626,125,directed,1
626,435,directed,1
626,424,directed,1
626,11,directed,1
626,520,directed,1
626,629,directed,1
626,137,directed,1
626,136,directed,1
83,483,directed,1
83,48,directed,1
83,36,directed,1
83,28,directed,1
83,40,directed,1
83,51,directed,1
83,84,directed,1
83,22,directed,1
83,47,directed,1
374,26,directed,1
374,3,directed,1
614,612,directed,1
324,306,directed,1
324,47,directed,1
324,28,directed,1
324,36,directed,1
324,325,directed,1
324,317,directed,1
324,96,directed,1
324,41,directed,1
531,435,directed,1
531,33,directed,1
109,483,directed,1
109,48,directed,1
109,47,directed,1
109,36,directed,1
109,28,directed,1
109,39,directed,1
109,82,directed,1
109,51,directed,1
109,32,directed,1
109,31,directed,1
109,33,directed,1
109,110,directed,1
109,20,directed,1
109,436,directed,1
109,29,directed,1
109,22,directed,1
109,35,directed,1
109,96,directed,1
109,50,directed,1
109,41,directed,1
625,449,directed,1
122,47,directed,1
122,36,directed,1
352,58,directed,1
123,11,directed,1
123,141,directed,1
123,130,directed,1
123,125,directed,1
123,126,directed,1
