id;label;dev
0;LibopusAudioTrackRenderer;2
1;AudioTrack;0
2;SampleSourceTrackRenderer;0
3;MediaClock;0
4;ExoPlaybackException;0
5;OpusDecoderException;0
6;OpusDecoderWrapper;0
7;Handler;0
8;LibvpxVideoTrackRenderer;2
9;Surface;0
10;VpxDecoderException;0
11;VpxDecoderWrapper;0
12;Bitmap;0
13;PlayerActivity;0
14;ExoPlayer;0
15;Activity;0
16;Bundle;0
17;MediaController;0
18;SurfaceView;0
19;TextView;0
20;Uri;0
21;Context;0
22;KeyEvent;0
23;MediaPlayerControl;0
24;DemoPlayer;0
25;AudioCapabilitiesReceiver;0
26;Button;0
27;Intent;0
28;MenuItem;0
29;OnClickListener;0
30;OnMenuItemClickListener;0
31;PopupMenu;0
32;SurfaceHolder;0
33;Callback;0
34;View;0
