Source,Target,type,weight
0,1,directed,1
0,2,directed,1
0,3,directed,1
0,4,directed,1
0,5,directed,1
0,6,directed,1
0,7,directed,1
0,8,directed,1
0,9,directed,1
0,10,directed,1
0,11,directed,1
0,12,directed,1
0,13,directed,1
0,14,directed,1
0,15,directed,1
0,16,directed,1
0,17,directed,1
0,18,directed,1
0,19,directed,1
20,21,directed,1
20,22,directed,1
20,23,directed,1
20,24,directed,1
20,25,directed,1
20,26,directed,1
20,27,directed,1
13,4,directed,1
13,10,directed,1
13,28,directed,1
13,12,directed,1
13,9,directed,1
13,8,directed,1
13,15,directed,1
13,16,directed,1
13,29,directed,1
13,30,directed,1
13,3,directed,1
13,31,directed,1
13,32,directed,1
13,17,directed,1
13,5,directed,1
13,33,directed,1
13,19,directed,1
13,34,directed,1
35,1,directed,1
35,12,directed,1
35,9,directed,1
35,34,directed,1
35,36,directed,1
37,9,directed,1
37,34,directed,1
9,3,directed,1
6,3,directed,1
6,7,directed,1
6,4,directed,1
6,9,directed,1
6,32,directed,1
