id,label,dev
0,Mp4Extractor,0
1,Extractor,0
2,SeekMap,0
3,Util,0
4,ParsableByteArray,0
5,NalUnitUtil,0
6,Sniffer,0
7,ExtractorInput,0
8,TrackSampleTable,0
9,Atom,1
10,Assertions,0
11,PositionHolder,0
12,ParserException,0
13,AtomParsers,1
14,ExtractorOutput,0
15,Track,0
16,MediaFormat,0
17,GaplessInfo,0
18,TrackOutput,0
19,[B,0
20,SampleChooserActivity,0
21,Samples,1
22,BaseExpandableListAdapter,0
23,Context,0
24,View,0
25,ViewGroup,0
26,Activity,0
27,Bundle,0
28,TrackEncryptionBox,0
29,C,0
30,FixedSampleSizeRechunker,0
31,[J,0
32,[I,0
33,ParsableBitArray,0
34,Pair,0
35,FragmentedMp4Extractor,0
36,SparseArray,0
37,PsshAtomUtil,0
