Source,Target,type,weight
0,1,directed,1
2,1,directed,1
2,3,directed,1
4,1,directed,1
5,6,directed,1
5,7,directed,1
5,8,directed,1
9,10,directed,1
11,12,directed,1
11,13,directed,1
11,14,directed,1
11,15,directed,1
11,10,directed,1
11,16,directed,1
11,3,directed,1
17,18,directed,1
19,20,directed,1
19,21,directed,1
19,22,directed,1
19,23,directed,1
19,24,directed,1
19,25,directed,1
19,26,directed,1
19,27,directed,1
19,28,directed,1
19,29,directed,1
19,30,directed,1
19,31,directed,1
19,32,directed,1
19,33,directed,1
19,34,directed,1
19,35,directed,1
36,10,directed,1
37,38,directed,1
37,39,directed,1
40,41,directed,1
40,42,directed,1
40,43,directed,1
40,44,directed,1
45,10,directed,1
45,46,directed,1
45,16,directed,1
45,47,directed,1
48,6,directed,1
48,1,directed,1
48,49,directed,1
48,47,directed,1
50,51,directed,1
50,52,directed,1
50,53,directed,1
50,54,directed,1
50,30,directed,1
50,55,directed,1
50,56,directed,1
50,57,directed,1
50,58,directed,1
50,59,directed,1
50,60,directed,1
50,61,directed,1
62,10,directed,1
63,10,directed,1
63,14,directed,1
63,16,directed,1
64,47,directed,1
64,16,directed,1
64,65,directed,1
52,65,directed,1
52,15,directed,1
52,66,directed,1
52,67,directed,1
68,6,directed,1
39,10,directed,1
39,69,directed,1
39,46,directed,1
70,10,directed,1
70,16,directed,1
71,39,directed,1
71,46,directed,1
72,8,directed,1
72,7,directed,1
73,10,directed,1
74,75,directed,1
74,43,directed,1
76,77,directed,1
76,13,directed,1
78,10,directed,1
78,79,directed,1
78,46,directed,1
80,50,directed,1
80,52,directed,1
80,53,directed,1
80,30,directed,1
80,55,directed,1
80,56,directed,1
80,57,directed,1
80,81,directed,1
66,52,directed,1
66,67,directed,1
66,82,directed,1
66,59,directed,1
66,83,directed,1
84,10,directed,1
84,16,directed,1
85,49,directed,1
85,6,directed,1
85,86,directed,1
87,10,directed,1
87,16,directed,1
87,47,directed,1
87,65,directed,1
87,14,directed,1
88,39,directed,1
88,46,directed,1
88,65,directed,1
89,10,directed,1
90,39,directed,1
90,46,directed,1
91,52,directed,1
91,92,directed,1
91,67,directed,1
91,82,directed,1
91,83,directed,1
51,93,directed,1
51,53,directed,1
51,52,directed,1
51,56,directed,1
51,94,directed,1
51,95,directed,1
51,57,directed,1
51,58,directed,1
96,6,directed,1
96,97,directed,1
96,98,directed,1
99,42,directed,1
99,51,directed,1
99,100,directed,1
99,52,directed,1
99,53,directed,1
99,101,directed,1
99,30,directed,1
99,55,directed,1
99,56,directed,1
99,57,directed,1
99,58,directed,1
102,6,directed,1
102,1,directed,1
102,103,directed,1
102,86,directed,1
102,49,directed,1
102,16,directed,1
102,104,directed,1
105,10,directed,1
106,107,directed,1
106,6,directed,1
106,103,directed,1
106,1,directed,1
108,52,directed,1
109,6,directed,1
109,1,directed,1
41,43,directed,1
110,16,directed,1
110,111,directed,1
110,65,directed,1
110,10,directed,1
110,14,directed,1
110,112,directed,1
107,49,directed,1
107,6,directed,1
107,1,directed,1
107,16,directed,1
113,52,directed,1
113,114,directed,1
115,116,directed,1
115,117,directed,1
118,10,directed,1
8,49,directed,1
8,6,directed,1
8,103,directed,1
119,16,directed,1
119,6,directed,1
119,120,directed,1
117,16,directed,1
117,6,directed,1
117,121,directed,1
117,86,directed,1
