Source,Target,type,weight
0,1,directed,1
0,2,directed,1
0,3,directed,1
0,4,directed,1
0,5,directed,1
0,6,directed,1
0,7,directed,1
0,8,directed,1
0,9,directed,1
0,10,directed,1
0,11,directed,1
0,12,directed,1
0,13,directed,1
14,8,directed,1
14,15,directed,1
14,4,directed,1
14,9,directed,1
14,11,directed,1
14,10,directed,1
14,6,directed,1
14,16,directed,1
14,5,directed,1
17,10,directed,1
17,18,directed,1
18,10,directed,1
18,19,directed,1
18,4,directed,1
18,11,directed,1
18,6,directed,1
18,12,directed,1
18,9,directed,1
18,20,directed,1
18,21,directed,1
18,22,directed,1
23,11,directed,1
23,24,directed,1
23,2,directed,1
23,25,directed,1
10,17,directed,1
10,6,directed,1
10,4,directed,1
10,26,directed,1
10,5,directed,1
10,12,directed,1
10,23,directed,1
10,27,directed,1
10,28,directed,1
10,2,directed,1
29,30,directed,1
29,26,directed,1
29,31,directed,1
29,32,directed,1
29,6,directed,1
29,17,directed,1
29,20,directed,1
29,22,directed,1
29,33,directed,1
29,5,directed,1
29,34,directed,1
29,35,directed,1
29,4,directed,1
29,9,directed,1
29,10,directed,1
29,18,directed,1
29,36,directed,1
29,37,directed,1
38,25,directed,1
38,39,directed,1
38,40,directed,1
38,41,directed,1
38,18,directed,1
38,11,directed,1
38,23,directed,1
3,13,directed,1
3,2,directed,1
3,42,directed,1
15,3,directed,1
15,2,directed,1
15,13,directed,1
15,16,directed,1
11,2,directed,1
11,43,directed,1
11,44,directed,1
11,45,directed,1
11,6,directed,1
11,46,directed,1
11,19,directed,1
11,16,directed,1
11,24,directed,1
11,13,directed,1
11,26,directed,1
11,14,directed,1
11,0,directed,1
11,28,directed,1
46,13,directed,1
46,19,directed,1
46,20,directed,1
16,47,directed,1
16,15,directed,1
16,48,directed,1
16,3,directed,1
16,49,directed,1
16,50,directed,1
16,51,directed,1
16,52,directed,1
16,13,directed,1
53,48,directed,1
53,3,directed,1
53,52,directed,1
53,51,directed,1
30,54,directed,1
30,32,directed,1
30,26,directed,1
30,55,directed,1
30,2,directed,1
30,31,directed,1
30,3,directed,1
6,2,directed,1
6,3,directed,1
56,18,directed,1
57,39,directed,1
57,6,directed,1
24,11,directed,1
24,2,directed,1
4,58,directed,1
4,10,directed,1
4,2,directed,1
4,9,directed,1
4,6,directed,1
4,11,directed,1
4,12,directed,1
4,34,directed,1
4,36,directed,1
4,26,directed,1
4,5,directed,1
4,24,directed,1
4,8,directed,1
4,23,directed,1
4,25,directed,1
5,59,directed,1
5,6,directed,1
5,60,directed,1
5,9,directed,1
5,45,directed,1
5,36,directed,1
12,7,directed,1
12,2,directed,1
1,4,directed,1
1,3,directed,1
61,47,directed,1
61,15,directed,1
61,39,directed,1
61,53,directed,1
61,51,directed,1
61,16,directed,1
61,50,directed,1
61,49,directed,1
61,32,directed,1
61,13,directed,1
28,6,directed,1
28,33,directed,1
28,59,directed,1
9,59,directed,1
9,6,directed,1
9,60,directed,1
51,48,directed,1
51,46,directed,1
51,49,directed,1
62,63,directed,1
62,44,directed,1
62,64,directed,1
62,65,directed,1
62,39,directed,1
62,66,directed,1
